id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401112432,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,57633.0,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,34.0,"[7, 10, 7, 10]",0.9999604069681605,1612.0,1641.0,151,East Carolina,American Athletic,fbs,6.0,"[3, 0, 0, 3]",0.00003959303183953544,1217.0,1188.0,1.71210547749999,https://www.youtube.com/watch?v=Sh7DT9PfyM8,
401110724,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,54610.0,3683,Commonwealth Stadium,96,Kentucky,SEC,fbs,38.0,"[0, 14, 10, 14]",0.9805204242555655,1615.0,1636.0,2649,Toledo,Mid-American,fbs,24.0,"[7, 7, 3, 7]",0.019479575744434485,1533.0,1512.0,5.084117394,https://www.youtube.com/watch?v=WyJPGht2LfM,
401112431,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,50917.0,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,fbs,31.0,"[21, 10, 0, 0]",0.6169692071984754,1442.0,1451.0,68,Boise State,Mountain West,fbs,36.0,"[6, 13, 7, 10]",0.38303079280152463,1703.0,1694.0,6.1513919836,https://www.youtube.com/watch?v=xV6tfTwOx7Y,
401110726,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,44107.0,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,fbs,15.0,"[7, 6, 0, 2]",0.9225375975622911,1622.0,1621.0,145,Ole Miss,SEC,fbs,10.0,"[0, 0, 3, 7]",0.07746240243770885,1477.0,1478.0,5.0956587043,https://www.youtube.com/watch?v=yQbjA_IX3io,
401128648,2019,1,regular,2019-08-31T16:30:00.000Z,False,False,False,,3741,Goodman Stadium,2329,Lehigh,Patriot,fcs,13.0,"[10, 3, 0, 0]",,,,2598,St Francis (PA),NEC,fcs,14.0,"[0, 0, 7, 7]",,,,,,
401128564,2019,1,regular,2019-08-31T17:00:00.000Z,False,False,False,,3897,Richardson Stadium,2166,Davidson,Pioneer,fcs,27.0,"[7, 13, 0, 7]",,,,46,Georgetown,Patriot,fcs,20.0,"[0, 0, 20, 0]",,,,,,
401126996,2019,1,regular,2019-08-31T17:00:00.000Z,False,False,False,,3868,Paladin Stadium,231,Furman,Southern,fcs,46.0,"[14, 10, 8, 14]",,,,2127,Charleston Southern,Big South,fcs,13.0,"[0, 6, 7, 0]",,,,,,
401112143,2019,1,regular,2019-08-31T18:00:00.000Z,False,False,False,61891.0,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,fbs,20.0,"[0, 3, 7, 10]",0.8127434292325724,1692.0,1690.0,256,James Madison,CAA,fcs,13.0,"[7, 0, 3, 3]",0.18725657076742763,1477.0,1479.0,7.09940618379999,https://www.youtube.com/watch?v=lO2sQGBE_u4,
401119259,2019,1,regular,2019-08-31T18:00:00.000Z,False,False,False,16665.0,3876,Peden Stadium,195,Ohio,Mid-American,fbs,41.0,"[7, 10, 17, 7]",0.9966143403275215,,,227,Rhode Island,CAA,fcs,20.0,"[0, 6, 7, 7]",0.0033856596724785026,,,0.7501731067,,
401117859,2019,1,regular,2019-08-31T19:00:00.000Z,False,False,False,26378.0,3806,Lincoln Financial Field,218,Temple,American Athletic,fbs,56.0,"[21, 14, 7, 14]",0.9999830913409441,,,2083,Bucknell,Patriot,fcs,12.0,"[0, 9, 3, 0]",0.000016908659055903108,,,0.0727569423000009,https://www.youtube.com/watch?v=qN4Bqdr4O7g,
